board_size,total_cells,time_microseconds,success,time_per_cell
5,25,59,1,2.36
6,36,86,1,2.38889
7,49,131,1,2.67347
8,64,170,1,2.65625
9,81,223,1,2.75309
10,100,286,1,2.86
11,121,348,1,2.87603
12,144,413,1,2.86806
13,169,491,1,2.90533
14,196,687,1,3.5051
15,225,860,1,3.82222
16,256,832,1,3.25
17,289,876,1,3.03114
18,324,942,1,2.90741
19,361,1433,1,3.96953
20,400,1195,1,2.9875
21,441,1134,1,2.57143
22,484,1119,1,2.31198
23,529,1260,1,2.38185
24,576,1671,1,2.90104
25,625,1381,1,2.2096
26,676,1442,1,2.13314
27,729,1415,1,1.94102
28,784,1492,1,1.90306
29,841,1751,1,2.08205
30,900,1732,1,1.92444
